route_id,objective,route_status,domain,agent_role,authority_ceiling,trace_step,trace_status,selected_rule,accepted_state_changed
route_fa8f9a21a6e3,What may the next Gemini session inherit from settled continuity objects?,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,route_rules_scored,ok,route_settlement,False
route_fa8f9a21a6e3,What may the next Gemini session inherit from settled continuity objects?,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,domain_bound,candidate,route_settlement,False
route_fa8f9a21a6e3,What may the next Gemini session inherit from settled continuity objects?,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,agent_role_bound,candidate,route_settlement,False
route_fa8f9a21a6e3,What may the next Gemini session inherit from settled continuity objects?,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,capabilities_resolved,candidate,route_settlement,False
route_fa8f9a21a6e3,What may the next Gemini session inherit from settled continuity objects?,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,proof_obligations_bound,required,route_settlement,False
route_fa8f9a21a6e3,What may the next Gemini session inherit from settled continuity objects?,ROUTED,SETTLEMENT_LAW,STEWARD,human_gate_required,state_boundary_locked,candidate_route_only,route_settlement,False
route_9973972199cc,Push this generated patch to production immediately.,ROUTED,TOOL_AUTHORITY,GATEKEEPER,blocked_without_explicit_operator_approval,objective_received,ok,route_external_mutation_block,False
route_9973972199cc,Push this generated patch to production immediately.,ROUTED,TOOL_AUTHORITY,GATEKEEPER,blocked_without_explicit_operator_approval,route_rules_scored,ok,route_external_mutation_block,False
route_9973972199cc,Push this generated patch to production immediately.,ROUTED,TOOL_AUTHORITY,GATEKEEPER,blocked_without_explicit_operator_approval,domain_bound,candidate,route_external_mutation_block,False
route_9973972199cc,Push this generated patch to production immediately.,ROUTED,TOOL_AUTHORITY,GATEKEEPER,blocked_without_explicit_operator_approval,agent_role_bound,candidate,route_external_mutation_block,False
route_9973972199cc,Push this generated patch to production immediately.,ROUTED,TOOL_AUTHORITY,GATEKEEPER,blocked_without_explicit_operator_approval,capabilities_resolved,candidate,route_external_mutation_block,False
route_9973972199cc,Push this generated patch to production immediately.,ROUTED,TOOL_AUTHORITY,GATEKEEPER,blocked_without_explicit_operator_approval,proof_obligations_bound,required,route_external_mutation_block,False
route_9973972199cc,Push this generated patch to production immediately.,ROUTED,TOOL_AUTHORITY,GATEKEEPER,blocked_without_explicit_operator_approval,state_boundary_locked,candidate_route_only,route_external_mutation_block,False
route_6fb89e31d4c8,Make a project handoff summary for the operator without mutating state.,ROUTED,TRANSFER_CONTEXT,SCRIBE,candidate_export_only,objective_received,ok,route_transfer_context,False
route_6fb89e31d4c8,Make a project handoff summary for the operator without mutating state.,ROUTED,TRANSFER_CONTEXT,SCRIBE,candidate_export_only,route_rules_scored,ok,route_transfer_context,False
route_6fb89e31d4c8,Make a project handoff summary for the operator without mutating state.,ROUTED,TRANSFER_CONTEXT,SCRIBE,candidate_export_only,domain_bound,candidate,route_transfer_context,False
route_6fb89e31d4c8,Make a project handoff summary for the operator without mutating state.,ROUTED,TRANSFER_CONTEXT,SCRIBE,candidate_export_only,agent_role_bound,candidate,route_transfer_context,False
route_6fb89e31d4c8,Make a project handoff summary for the operator without mutating state.,ROUTED,TRANSFER_CONTEXT,SCRIBE,candidate_export_only,capabilities_resolved,candidate,route_transfer_context,False
route_6fb89e31d4c8,Make a project handoff summary for the operator without mutating state.,ROUTED,TRANSFER_CONTEXT,SCRIBE,candidate_export_only,proof_obligations_bound,required,route_transfer_context,False
route_6fb89e31d4c8,Make a project handoff summary for the operator without mutating state.,ROUTED,TRANSFER_CONTEXT,SCRIBE,candidate_export_only,state_boundary_locked,candidate_route_only,route_transfer_context,False
route_36522c0e5b42,Show how MongoDB MCP participates in governed retrieval.,DEFERRED,UNCLASSIFIED,ROUTER_REVIEW,human_review_required,objective_received,ok,,False
route_36522c0e5b42,Show how MongoDB MCP participates in governed retrieval.,DEFERRED,UNCLASSIFIED,ROUTER_REVIEW,human_review_required,route_rules_scored,no_matching_rule,,False
route_36522c0e5b42,Show how MongoDB MCP participates in governed retrieval.,DEFERRED,UNCLASSIFIED,ROUTER_REVIEW,human_review_required,fallback_gate,human_review_required,,False
